Year,InState,OutofState,InState_Formatted,OutofState_Formatted,Source
2021,"16,080","28,992","$16,080","$28,992",At a Glance
2020,"16,080","28,992","$16,080","$28,992",At a Glance
2019,"16,080","28,176","$16,080","$28,176",At a Glance
2018,"15,768","27,528","$15,768","$27,528",At a Glance
2017,"15,384","26,376","$15,384","$26,376",At a Glance
2016,"15,188","25,494","$15,188","$25,494",At a Glance
2015,"14,696","24,722","$14,696","$24,722",At a Glance
2014,"14,096","24,122","$14,096","$24,122",At a Glance
2013,"13,006","22,832","$13,006","$22,832",https://www.temple.edu/ira/documents/data-analysis/common-data/2012-2013.pdf
2012,"13,006","22,832","$13,006","$22,832",https://www.temple.edu/ira/documents/data-analysis/common-data/2011-2012.pdf
2011,"11,834","21,662","$11,834","$21,662",https://www.temple.edu/ira/documents/data-analysis/common-data/2010-2011.pdf
2010,"11,174","20,454","$11,174","$20,454",https://www.temple.edu/ira/documents/data-analysis/common-data/2009-2010.pdf
2009,"10,858","19,878","$10,858","$19,878",https://www.temple.edu/ira/documents/data-analysis/common-data/2008-2009.pdf
2008,"10,252","18,770","$10,252","$18,770",https://www.temple.edu/ira/documents/data-analysis/common-data/2007-2008.pdf
2007,"9,680","17,724","$9,680","$17,724",https://www.temple.edu/ira/documents/data-analysis/common-data/2006-2007.pdf
2006,"9,140","16,736","$9,140","$16,736",https://www.temple.edu/ira/documents/data-analysis/common-data/2005-2006.pdf
2005,"8,622","15,788","$8,622","$15,788",https://www.temple.edu/ira/documents/data-analysis/common-data/2004-2005.pdf
2004,"8,134","14,894","$8,134","$14,894",https://www.temple.edu/ira/documents/data-analysis/common-data/2003-2004.pdf
2003,"7,602","13,856","$7,602","$13,856",https://www.temple.edu/ira/documents/data-analysis/common-data/2002-2003.pdf
